"id","plantid","timestamp_measurement","feuchtigkeit","wasserstand","luftfeuchtigkeit","lux","lufttemperatur","kohlenstoffdioxid"
"2029","2","2025-09-24 12:23:18","58","50","43.6","74.1667","23.7","441"
"2030","2","2025-09-24 12:23:24","58.1333","50","43.5","75","23.7","492"
"2031","3","2025-09-24 12:53:24","58.1333","50","43.3","103.333","21.9","746"
"2032","3","2025-09-24 13:12:19","58.2","50","42.5","90.4167","22.1","746"
"2033","3","2025-09-24 13:22:19","57.8667","50","43.1","103.75","21.9","585"
"2034","3","2025-09-24 13:32:20","57.2667","50","43.8","60","21.5","468"
"2035","12","2025-09-24 13:42:20","57.3333","50","42.4","72.5","22","989"
"2036","13","2025-09-24 13:52:20","58.3333","56.25","42.4","117.917","22.1","594"
"2037","14","2025-09-24 14:02:21","58.4667","56.25","42","74.1667","22","749"
"2038","14","2025-09-24 14:12:21","57.5333","56.25","42","57.9167","22.1","663"
"2039","14","2025-09-24 14:22:21","57.6","56.25","41.4","63.75","22.2","643"
"2040","15","2025-09-24 14:32:22","57.4667","56.25","41.4","77.5","22.2","548"
"2041","15","2025-09-24 14:42:22","57.4667","56.25","41.5","68.3333","22.2","587"
"2042","1","2025-09-24 14:52:22","58","56.25","40.9","87.5","22.2","364"
"2043","1","2025-09-24 15:02:24","57.3333","56.25","40.9","87.5","22.2","218"
"2044","1","2025-09-24 15:12:24","57.4","56.25","40.8","105","22.3","683"
"2045","1","2025-09-24 15:22:26","58","56.25","40.8","37.5","22.3","266"
"2046","1","2025-09-24 15:32:26","57.3333","56.25","40.3","40","22.4","217"
"2047","1","2025-09-24 15:42:26","57.5333","56.25","40","65.8333","22.4","691"
"2048","1","2025-09-24 15:52:27","58.1333","56.25","40","35.4167","22.5","684"
"2049","1","2025-09-24 16:02:27","57.9333","56.25","40.2","90.4167","22.4","520"
"2050","1","2025-09-24 16:12:27","57.8667","56.25","41","44.5833","22","854"
"2051","1","2025-09-24 16:22:28","57.9333","56.25","41","25.8333","22.1","573"
"2052","1","2025-09-24 16:32:28","57.4","56.25","42.6","29.5833","21.8","856"
"2053","1","2025-09-24 16:42:28","58.0667","56.25","42.8","35.4167","21.7","341"
"2054","1","2025-09-24 16:52:29","57.0667","56.25","42.8","29.5833","21.7","359"
"2055","1","2025-09-24 17:02:29","57.7333","56.25","42.8","31.25","21.7","537"
"2056","1","2025-09-24 17:12:30","57.7333","56.25","43.9","25","21.6","590"
"2057","1","2025-09-24 17:22:30","57.3333","56.25","43.9","28.3333","21.6","741"
"2058","1","2025-09-24 17:32:30","57.0667","56.25","44.9","19.5833","21.6","643"
"2059","1","2025-09-24 17:42:31","57","56.25","45.1","23.3333","21.5","351"
"2060","1","2025-09-24 17:52:31","57.8","56.25","45","18.75","21.6","453"
"2061","1","2025-09-24 18:02:31","57.7333","56.25","45.2","21.25","21.5","784"
"2062","1","2025-09-24 18:12:32","57.0667","56.25","44.9","15.4167","21.5","555"
"2063","1","2025-09-24 18:22:32","57.6667","56.25","45.5","10.8333","21.4","796"
"2064","1","2025-09-24 18:32:32","57.0667","56.25","45.5","7.5","21.5","918"
"2065","1","2025-09-24 18:42:33","57.2","56.25","45.1","5","21.4","551"
"2066","1","2025-09-24 18:52:33","57.6","56.25","45.4","2.5","21.4","894"
